timestamp,station,pm25,pm10,so2,no2,co,o3,temp,pres,dewp,rain,wnd_dir,wnd_spd,pm25_missing,pm10_missing,so2_missing,no2_missing,co_missing,o3_missing,temp_missing,pres_missing,dewp_missing,rain_missing,wnd_spd_missing
2013-03-01 00:00:00,Aotizhongxin,4.0,4.0,4.0,7.0,300.0,77.0,-0.7,1023.0,-18.8,0.0,NNW,4.4,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 00:00:00,Changping,3.0,6.0,13.0,7.0,300.0,85.0,-2.3,1020.8,-19.7,0.0,E,0.5,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 00:00:00,Dingling,4.0,4.0,3.0,2.0,200.0,82.0,-2.3,1020.8,-19.7,0.0,E,0.5,0,0,0,1,0,0,0,0,0,0,0
2013-03-01 00:00:00,Dongsi,9.0,9.0,3.0,17.0,300.0,89.0,-0.5,1024.5,-21.4,0.0,NNW,5.7,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 00:00:00,Guanyuan,4.0,4.0,14.0,20.0,300.0,69.0,-0.7,1023.0,-18.8,0.0,NNW,4.4,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 00:00:00,Gucheng,6.0,18.0,5.0,5.0,800.0,88.0,0.1,1021.1,-18.6,0.0,NW,4.4,0,0,0,1,0,0,0,0,0,0,0
2013-03-01 00:00:00,Huairou,7.0,7.0,3.0,2.0,100.0,91.0,-2.3,1020.3,-20.7,0.0,WNW,3.1,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 00:00:00,Nongzhanguan,5.0,14.0,4.0,12.0,200.0,85.0,-0.5,1024.5,-21.4,0.0,NNW,5.7,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 00:00:00,Shunyi,3.0,6.0,3.0,8.0,300.0,44.0,-0.9,1025.8,-20.5,0.0,NW,9.3,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 00:00:00,Tiantan,6.0,6.0,4.0,8.0,300.0,81.0,-0.5,1024.5,-21.4,0.0,NNW,5.7,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 00:00:00,Wanliu,8.0,8.0,6.0,28.0,400.0,52.0,-0.7,1023.0,-18.8,0.0,NNW,4.4,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 00:00:00,Wanshouxigong,9.0,9.0,6.0,17.0,200.0,62.0,0.3,1021.9,-19.0,0.0,WNW,2.0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 01:00:00,Aotizhongxin,8.0,8.0,4.0,7.0,300.0,77.0,-1.1,1023.2,-18.2,0.0,N,4.7,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 01:00:00,Changping,3.0,3.0,6.0,6.0,300.0,85.0,-2.5,1021.3,-19.0,0.0,ENE,0.7,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 01:00:00,Dingling,7.0,7.0,3.0,2.0,200.0,80.0,-2.5,1021.3,-19.0,0.0,ENE,0.7,0,0,0,1,0,0,0,0,0,0,0
2013-03-01 01:00:00,Dongsi,4.0,4.0,3.0,16.0,300.0,88.0,-0.7,1025.1,-22.1,0.0,NW,3.9,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 01:00:00,Guanyuan,4.0,4.0,13.0,17.0,300.0,72.0,-1.1,1023.2,-18.2,0.0,N,4.7,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 01:00:00,Gucheng,6.0,15.0,5.0,5.0,800.0,88.0,-0.3,1021.5,-19.0,0.0,NW,4.0,0,0,0,1,0,0,0,0,0,0,0
2013-03-01 01:00:00,Huairou,4.0,4.0,3.0,2.0,100.0,92.0,-2.7,1020.8,-20.5,0.0,NNW,1.5,0,0,0,1,0,0,0,0,0,0,0
2013-03-01 01:00:00,Nongzhanguan,8.0,12.0,6.0,14.0,200.0,84.0,-0.7,1025.1,-22.1,0.0,NW,3.9,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 01:00:00,Shunyi,12.0,12.0,3.0,7.0,300.0,47.0,-1.1,1026.1,-21.3,0.0,NW,9.4,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 01:00:00,Tiantan,6.0,29.0,5.0,9.0,300.0,80.0,-0.7,1025.1,-22.1,0.0,NW,3.9,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 01:00:00,Wanliu,9.0,9.0,6.0,28.0,400.0,50.0,-1.1,1023.2,-18.2,0.0,N,4.7,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 01:00:00,Wanshouxigong,11.0,11.0,7.0,14.0,200.0,66.0,-0.1,1022.4,-19.3,0.0,WNW,4.4,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 02:00:00,Aotizhongxin,7.0,7.0,5.0,10.0,300.0,73.0,-1.1,1023.5,-18.2,0.0,NNW,5.6,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 02:00:00,Changping,3.0,3.0,22.0,13.0,400.0,74.0,-3.0,1021.3,-19.9,0.0,ENE,0.2,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 02:00:00,Dingling,5.0,5.0,3.0,2.0,200.0,79.0,-3.0,1021.3,-19.9,0.0,ENE,0.2,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 02:00:00,Dongsi,7.0,7.0,3.0,17.0,300.0,60.0,-1.2,1025.3,-24.6,0.0,NNW,5.3,0,0,1,0,0,0,0,0,0,0,0
2013-03-01 02:00:00,Guanyuan,3.0,3.0,10.0,19.0,300.0,69.0,-1.1,1023.5,-18.2,0.0,NNW,5.6,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 02:00:00,Gucheng,5.0,18.0,5.0,5.0,700.0,52.0,-0.7,1021.5,-19.8,0.0,WNW,4.6,0,0,1,1,0,0,0,0,0,0,0
2013-03-01 02:00:00,Huairou,4.0,4.0,3.0,2.0,100.0,91.0,-3.2,1020.6,-21.4,0.0,NW,1.8,0,0,1,1,0,0,0,0,0,0,0
2013-03-01 02:00:00,Nongzhanguan,3.0,6.0,5.0,14.0,200.0,83.0,-1.2,1025.3,-24.6,0.0,NNW,5.3,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 02:00:00,Shunyi,14.0,14.0,3.0,7.0,200.0,22.0,-1.7,1026.2,-23.0,0.0,NW,8.6,0,0,1,0,0,0,0,0,0,0,0
2013-03-01 02:00:00,Tiantan,6.0,6.0,4.0,12.0,300.0,75.0,-1.2,1025.3,-24.6,0.0,NNW,5.3,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 02:00:00,Wanliu,3.0,6.0,6.0,19.0,400.0,55.0,-1.1,1023.5,-18.2,0.0,NNW,5.6,0,0,1,0,0,0,0,0,0,0,0
2013-03-01 02:00:00,Wanshouxigong,8.0,8.0,7.0,16.0,200.0,59.0,-0.6,1022.6,-19.7,0.0,WNW,4.7,0,0,1,0,0,0,0,0,0,0,0
2013-03-01 03:00:00,Aotizhongxin,6.0,6.0,11.0,11.0,300.0,72.0,-1.4,1024.5,-19.4,0.0,NW,3.1,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 03:00:00,Changping,3.0,6.0,12.0,8.0,300.0,81.0,-3.6,1021.8,-19.1,0.0,NNE,1.0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 03:00:00,Dingling,6.0,6.0,3.0,2.0,200.0,79.0,-3.6,1021.8,-19.1,0.0,NNE,1.0,0,0,0,1,0,0,0,0,0,0,0
2013-03-01 03:00:00,Dongsi,3.0,3.0,5.0,18.0,300.0,60.0,-1.4,1026.2,-25.5,0.0,N,4.9,0,0,0,0,1,1,0,0,0,0,0
2013-03-01 03:00:00,Guanyuan,3.0,6.0,7.0,24.0,400.0,62.0,-1.4,1024.5,-19.4,0.0,NW,3.1,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 03:00:00,Gucheng,6.0,20.0,6.0,5.0,700.0,52.0,-1.0,1022.7,-21.2,0.0,W,2.8,0,0,0,1,1,1,0,0,0,0,0
2013-03-01 03:00:00,Huairou,3.0,3.0,3.0,2.0,100.0,91.0,-3.3,1021.3,-23.7,0.0,NNW,2.4,0,0,0,0,1,1,0,0,0,0,0
2013-03-01 03:00:00,Nongzhanguan,5.0,5.0,5.0,14.0,200.0,84.0,-1.4,1026.2,-25.5,0.0,N,4.9,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 03:00:00,Shunyi,12.0,12.0,3.0,5.0,200.0,22.0,-2.1,1027.3,-23.3,0.0,NW,6.6,0,0,0,0,1,1,0,0,0,0,0
2013-03-01 03:00:00,Tiantan,6.0,6.0,4.0,12.0,300.0,74.0,-1.4,1026.2,-25.5,0.0,N,4.9,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 03:00:00,Wanliu,11.0,30.0,8.0,14.0,400.0,55.0,-1.4,1024.5,-19.4,0.0,NW,3.1,0,0,0,0,1,1,0,0,0,0,0
2013-03-01 03:00:00,Wanshouxigong,8.0,8.0,3.0,16.0,200.0,59.0,-0.7,1023.5,-20.9,0.0,NW,2.6,0,0,0,0,1,1,0,0,0,0,0
2013-03-01 04:00:00,Aotizhongxin,3.0,3.0,12.0,12.0,300.0,72.0,-2.0,1025.2,-19.5,0.0,N,2.0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 04:00:00,Changping,3.0,3.0,14.0,8.0,300.0,81.0,-3.5,1022.3,-19.4,0.0,N,2.1,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 04:00:00,Dingling,5.0,5.0,3.0,2.0,200.0,81.0,-3.5,1022.3,-19.4,0.0,N,2.1,0,0,0,1,0,0,0,0,0,0,0
2013-03-01 04:00:00,Dongsi,3.0,3.0,7.0,18.0,200.0,84.0,-1.9,1027.1,-24.5,0.0,NNW,3.2,0,0,0,1,0,0,0,0,0,0,0
2013-03-01 04:00:00,Guanyuan,3.0,6.0,5.0,14.0,400.0,71.0,-2.0,1025.2,-19.5,0.0,N,2.0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 04:00:00,Gucheng,5.0,17.0,5.0,5.0,600.0,73.0,-1.3,1023.0,-21.4,0.0,WNW,3.6,0,0,0,1,0,0,0,0,0,0,0
2013-03-01 04:00:00,Huairou,3.0,3.0,7.0,2.0,300.0,86.0,-4.1,1022.1,-22.7,0.0,NNW,2.2,0,0,0,1,0,0,0,0,0,0,0
2013-03-01 04:00:00,Nongzhanguan,5.0,5.0,6.0,21.0,200.0,77.0,-1.9,1027.1,-24.5,0.0,NNW,3.2,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 04:00:00,Shunyi,12.0,12.0,3.0,5.0,200.0,11.0,-2.4,1027.7,-22.9,0.0,NW,4.5,0,0,0,1,0,0,0,0,0,0,0
2013-03-01 04:00:00,Tiantan,5.0,5.0,7.0,15.0,400.0,70.0,-1.9,1027.1,-24.5,0.0,NNW,3.2,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 04:00:00,Wanliu,3.0,13.0,9.0,14.0,300.0,54.0,-2.0,1025.2,-19.5,0.0,N,2.0,0,0,0,1,0,0,0,0,0,0,0
2013-03-01 04:00:00,Wanshouxigong,8.0,8.0,3.0,16.0,300.0,36.0,-0.9,1024.1,-21.7,0.0,WNW,2.5,0,0,0,1,0,0,0,0,0,0,0
2013-03-01 05:00:00,Aotizhongxin,5.0,5.0,18.0,18.0,400.0,66.0,-2.2,1025.6,-19.6,0.0,N,3.7,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 05:00:00,Changping,3.0,3.0,10.0,17.0,400.0,71.0,-4.5,1022.6,-19.5,0.0,NNW,1.7,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 05:00:00,Dingling,6.0,6.0,3.0,4.0,200.0,79.0,-4.5,1022.6,-19.5,0.0,NNW,1.7,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 05:00:00,Dongsi,4.0,4.0,9.0,25.0,300.0,78.0,-2.4,1027.5,-21.3,0.0,NW,2.4,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 05:00:00,Guanyuan,3.0,6.0,6.0,14.0,400.0,71.0,-2.2,1025.6,-19.6,0.0,N,3.7,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 05:00:00,Gucheng,4.0,11.0,3.0,5.0,700.0,87.0,-1.8,1023.6,-21.9,0.0,E,1.2,0,0,0,1,0,0,0,0,0,0,0
2013-03-01 05:00:00,Huairou,4.0,4.0,3.0,3.0,200.0,85.0,-4.2,1022.3,-24.5,0.0,N,4.3,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 05:00:00,Nongzhanguan,3.0,3.0,13.0,21.0,300.0,77.0,-2.4,1027.5,-21.3,0.0,NW,2.4,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 05:00:00,Shunyi,11.0,11.0,3.0,7.0,200.0,45.0,-2.8,1028.2,-22.1,0.0,NNW,1.7,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 05:00:00,Tiantan,10.0,10.0,12.0,15.0,400.0,70.0,-2.4,1027.5,-21.3,0.0,NW,2.4,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 05:00:00,Wanliu,3.0,6.0,8.0,17.0,300.0,54.0,-2.2,1025.6,-19.6,0.0,N,3.7,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 05:00:00,Wanshouxigong,10.0,10.0,4.0,8.0,200.0,64.0,-1.6,1024.7,-21.1,0.0,NE,2.0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 06:00:00,Aotizhongxin,3.0,3.0,18.0,32.0,500.0,50.0,-2.6,1026.5,-19.1,0.0,NNE,2.5,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 06:00:00,Changping,4.0,6.0,12.0,22.0,500.0,65.0,-4.5,1023.4,-19.5,0.0,NNW,1.8,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 06:00:00,Dingling,5.0,10.0,3.0,4.0,200.0,77.0,-4.5,1023.4,-19.5,0.0,NNW,1.8,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 06:00:00,Dongsi,5.0,5.0,10.0,29.0,400.0,67.0,-2.5,1028.2,-20.4,0.0,NW,2.2,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 06:00:00,Guanyuan,6.0,6.0,6.0,20.0,400.0,66.0,-2.6,1026.5,-19.1,0.0,NNE,2.5,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 06:00:00,Gucheng,3.0,6.0,3.0,5.0,700.0,92.0,-2.6,1024.3,-20.4,0.0,ENE,1.2,0,0,0,1,0,0,0,0,0,0,0
2013-03-01 06:00:00,Huairou,3.0,6.0,33.0,7.0,300.0,82.0,-5.9,1023.1,-21.9,0.0,WNW,0.6,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 06:00:00,Nongzhanguan,4.0,4.0,15.0,32.0,300.0,62.0,-2.5,1028.2,-20.4,0.0,NW,2.2,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 06:00:00,Shunyi,12.0,12.0,3.0,9.0,300.0,74.0,-4.0,1029.0,-21.2,0.0,NNE,1.6,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 06:00:00,Tiantan,8.0,19.0,12.0,14.0,400.0,72.0,-2.5,1028.2,-20.4,0.0,NW,2.2,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 06:00:00,Wanliu,3.0,3.0,10.0,21.0,300.0,52.0,-2.6,1026.5,-19.1,0.0,NNE,2.5,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 06:00:00,Wanshouxigong,8.0,8.0,6.0,13.0,300.0,61.0,-2.4,1025.4,-20.3,0.0,NE,2.3,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 07:00:00,Aotizhongxin,3.0,6.0,19.0,41.0,500.0,43.0,-1.6,1027.4,-19.1,0.0,NNW,3.8,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 07:00:00,Changping,3.0,6.0,25.0,39.0,600.0,48.0,-2.1,1024.6,-20.0,0.0,NW,2.5,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 07:00:00,Dingling,5.0,6.0,3.0,2.0,200.0,80.0,-2.1,1024.6,-20.0,0.0,NW,2.5,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 07:00:00,Dongsi,3.0,6.0,12.0,40.0,400.0,52.0,-1.4,1029.5,-20.4,0.0,NNW,3.0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 07:00:00,Guanyuan,3.0,3.0,7.0,26.0,400.0,61.0,-1.6,1027.4,-19.1,0.0,NNW,3.8,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 07:00:00,Gucheng,5.0,5.0,3.0,5.0,800.0,86.0,-0.9,1025.6,-20.5,0.0,ENE,1.1,0,0,0,1,0,0,0,0,0,0,0
2013-03-01 07:00:00,Huairou,3.0,10.0,13.0,13.0,400.0,71.0,-2.7,1024.3,-23.2,0.0,NNE,3.4,0,0,0,0,0,0,0,0,0,0,0
2013-03-01 07:00:00,Nongzhanguan,3.0,7.0,14.0,45.0,400.0,48.0,-1.4,1029.5,-20.4,0.0,NNW,3.0,0,0,0,0,0,0,0,0,0,0,0
