station_pair,distance_km,correlation,abs_corr
Aotizhongxin-Changping,30.25,0.837582,0.837582
Aotizhongxin-Dingling,37.61,0.802956,0.802956
Aotizhongxin-Dongsi,6.13,0.943077,0.943077
Aotizhongxin-Guanyuan,7.69,0.950303,0.950303
Aotizhongxin-Gucheng,19.67,0.894152,0.894152
Aotizhongxin-Huairou,43.19,0.835663,0.835663
Aotizhongxin-Nongzhanguan,7.4,0.936368,0.936368
Aotizhongxin-Shunyi,27.24,0.878472,0.878472
Aotizhongxin-Tiantan,10.71,0.925558,0.925558
Aotizhongxin-Wanliu,9.39,0.934208,0.934208
Aotizhongxin-Wanshouxigong,12.18,0.90756,0.90756
Changping-Dingling,8.23,0.885783,0.885783
Changping-Dongsi,36.24,0.813946,0.813946
Changping-Guanyuan,33.69,0.836022,0.836022
Changping-Gucheng,33.94,0.848033,0.848033
Changping-Huairou,36.71,0.843872,0.843872
Changping-Nongzhanguan,37.37,0.805767,0.805767
Changping-Shunyi,38.32,0.795299,0.795299
Changping-Tiantan,40.2,0.806525,0.806525
Changping-Wanliu,26.31,0.863488,0.863488
Changping-Wanshouxigong,39.44,0.785568,0.785568
Dingling-Dongsi,43.7,0.778841,0.778841
Dingling-Guanyuan,41.61,0.801431,0.801431
Dingling-Gucheng,42.14,0.815043,0.815043
Dingling-Huairou,34.83,0.831172,0.831172
Dingling-Nongzhanguan,44.48,0.769042,0.769042
Dingling-Shunyi,41.24,0.776361,0.776361
Dingling-Tiantan,47.87,0.765606,0.765606
Dingling-Wanliu,34.39,0.821846,0.821846
Dingling-Wanshouxigong,47.38,0.745751,0.745751
Dongsi-Guanyuan,6.65,0.962736,0.962736
Dongsi-Gucheng,19.94,0.894639,0.894639
Dongsi-Huairou,47.86,0.823477,0.823477
Dongsi-Nongzhanguan,3.86,0.95485,0.95485
Dongsi-Shunyi,29.92,0.875189,0.875189
Dongsi-Tiantan,4.86,0.957027,0.957027
Dongsi-Wanliu,12.82,0.928349,0.928349
Dongsi-Wanshouxigong,7.93,0.938151,0.938151
Guanyuan-Gucheng,13.32,0.920362,0.920362
Guanyuan-Huairou,50.72,0.838118,0.838118
Guanyuan-Nongzhanguan,10.44,0.94153,0.94153
Guanyuan-Shunyi,34.77,0.873969,0.873969
Guanyuan-Tiantan,7.52,0.952357,0.952357
Guanyuan-Wanliu,7.83,0.953231,0.953231
Guanyuan-Wanshouxigong,5.78,0.93882,0.93882
Gucheng-Huairou,59.54,0.846308,0.846308
Gucheng-Nongzhanguan,23.76,0.873936,0.873936
Gucheng-Shunyi,46.58,0.844362,0.844362
Gucheng-Tiantan,19.28,0.891128,0.891128
Gucheng-Wanliu,11.96,0.930942,0.930942
Gucheng-Wanshouxigong,14.88,0.886915,0.886915
Huairou-Nongzhanguan,45.74,0.808531,0.808531
Huairou-Shunyi,22.47,0.87757,0.87757
Huairou-Tiantan,52.62,0.812838,0.812838
Huairou-Wanliu,47.72,0.8441,0.8441
Huairou-Wanshouxigong,55.27,0.79454,0.79454
Nongzhanguan-Shunyi,26.82,0.871474,0.871474
Nongzhanguan-Tiantan,7.31,0.948168,0.948168
Nongzhanguan-Wanliu,15.84,0.912351,0.912351
Nongzhanguan-Wanshouxigong,11.38,0.924668,0.924668
Shunyi-Tiantan,34.12,0.867969,0.867969
Shunyi-Wanliu,34.98,0.86147,0.86147
Shunyi-Wanshouxigong,37.85,0.853492,0.853492
Tiantan-Wanliu,15.19,0.921071,0.921071
Tiantan-Wanshouxigong,4.78,0.957161,0.957161
Wanliu-Wanshouxigong,13.33,0.907446,0.907446
